Port Name,State,Port Code,Border,Date,Measure,Value,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Pedestrians,36008,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Personal Vehicle Passengers,401101,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Personal Vehicles,239387,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Rail Containers Empty,526,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Rail Containers Full,45,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Train Passengers,18,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Trains,17,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Truck Containers Empty,14588,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Truck Containers Full,18946,,,
Calexico East,CA,2507,US-Mexico Border,2/1/20 0:00,Trucks,33203,,,
Carbury,ND,3421,US-Canada Border,2/1/20 0:00,Bus Passengers,51,,,
Carbury,ND,3421,US-Canada Border,2/1/20 0:00,Buses,3,,,
Carbury,ND,3421,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,2208,,,
Carbury,ND,3421,US-Canada Border,2/1/20 0:00,Personal Vehicles,1100,,,
Carbury,ND,3421,US-Canada Border,2/1/20 0:00,Truck Containers Empty,101,,,
Carbury,ND,3421,US-Canada Border,2/1/20 0:00,Truck Containers Full,290,,,
Carbury,ND,3421,US-Canada Border,2/1/20 0:00,Trucks,246,,,
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,126874,,,
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/20 0:00,Personal Vehicles,55925,,,
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/20 0:00,Rail Containers Empty,431,,,
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/20 0:00,Rail Containers Full,2523,,,
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/20 0:00,Trains,46,,,
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/20 0:00,Truck Containers Empty,3404,,,
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/20 0:00,Truck Containers Full,20016,,,
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/20 0:00,Trucks,22589,,,
Columbus,NM,2406,US-Mexico Border,2/1/20 0:00,Personal Vehicle Passengers,56554,,,
Columbus,NM,2406,US-Mexico Border,2/1/20 0:00,Personal Vehicles,28073,,,
Columbus,NM,2406,US-Mexico Border,2/1/20 0:00,Truck Containers Empty,122,,,
Columbus,NM,2406,US-Mexico Border,2/1/20 0:00,Truck Containers Full,347,,,
Columbus,NM,2406,US-Mexico Border,2/1/20 0:00,Trucks,468,,,
Cross Border Xpress,CA,2582,US-Mexico Border,2/1/20 0:00,Pedestrians,127902,,,
Dalton Cache,AK,3106,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,787,,,
Dalton Cache,AK,3106,US-Canada Border,2/1/20 0:00,Personal Vehicles,376,,,
Dalton Cache,AK,3106,US-Canada Border,2/1/20 0:00,Truck Containers Empty,66,,,
Dalton Cache,AK,3106,US-Canada Border,2/1/20 0:00,Truck Containers Full,9,,,
Dalton Cache,AK,3106,US-Canada Border,2/1/20 0:00,Trucks,76,,,
Danville,WA,3012,US-Canada Border,2/1/20 0:00,Pedestrians,5,,,
Danville,WA,3012,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,3079,,,
Danville,WA,3012,US-Canada Border,2/1/20 0:00,Personal Vehicles,2093,,,
Danville,WA,3012,US-Canada Border,2/1/20 0:00,Truck Containers Empty,37,,,
Danville,WA,3012,US-Canada Border,2/1/20 0:00,Truck Containers Full,21,,,
Danville,WA,3012,US-Canada Border,2/1/20 0:00,Trucks,58,,,
Del Bonita,MT,3322,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,4007,,,
Del Bonita,MT,3322,US-Canada Border,2/1/20 0:00,Personal Vehicles,1697,,,
Del Bonita,MT,3322,US-Canada Border,2/1/20 0:00,Truck Containers Full,40,,,
Del Bonita,MT,3322,US-Canada Border,2/1/20 0:00,Trucks,40,,,
Del Rio,TX,2302,US-Mexico Border,2/1/20 0:00,Pedestrians,18975,,,
Del Rio,TX,2302,US-Mexico Border,2/1/20 0:00,Personal Vehicle Passengers,203944,,,
Del Rio,TX,2302,US-Mexico Border,2/1/20 0:00,Personal Vehicles,120630,,,
Del Rio,TX,2302,US-Mexico Border,2/1/20 0:00,Truck Containers Empty,1717,,,
Del Rio,TX,2302,US-Mexico Border,2/1/20 0:00,Truck Containers Full,4285,,,
Del Rio,TX,2302,US-Mexico Border,2/1/20 0:00,Trucks,5935,,,
Derby Line,VT,209,US-Canada Border,2/1/20 0:00,Bus Passengers,3640,,,
Derby Line,VT,209,US-Canada Border,2/1/20 0:00,Buses,106,,,
Derby Line,VT,209,US-Canada Border,2/1/20 0:00,Pedestrians,26,,,
Derby Line,VT,209,US-Canada Border,2/1/20 0:00,Personal Vehicle Passengers,54950,,,
Derby Line,VT,209,US-Canada Border,2/1/20 0:00,Personal Vehicles,28227,,,
Derby Line,VT,209,US-Canada Border,2/1/20 0:00,Truck Containers Empty,909,,,
Derby Line,VT,209,US-Canada Border,2/1/20 0:00,Truck Containers Full,5497,,,
Derby Line,VT,209,US-Canada Border,2/1/20 0:00,Trucks,6402,,,
